date_only,bidder_name,pub_name,pub_id,endpoint,pub_type,device_type,auctions,impressions,spend
2025-02-10,UnrulyX,Trusted Media Brands,515314,SOVRN - Direct All - TREE,publisher,APP,5,5,0.03
2025-02-10,Beeswax,GateHouse Media,293450,SOVRN Direct - All Mobile - Fillrate,publisher,APP,15,15,0.02
2025-02-10,UnrulyX,Voise Tech,511365,SOVRN - Direct All - TREE,publisher,APP,5,5,0.07
2025-02-10,RTB House,Nexstar Media Group,262877,SOVRN Direct - All - Tree,publisher,APP,7,7,0.01
2025-02-10,Krush Media,LG Ads Plus,491414,TTL Test - In-App Video,publisher,APP,2,2,0.03
2025-02-10,PubMatic,Amagi,499619,SOVRN Direct - No Shaping,publisher,CTV,11,11,0.11
2025-02-10,Krush Media,Ookla,235106,TTL Test - In-App Banner,publisher,APP,1,1,0.0
2025-02-10,Beeswax,Bold Collective,478047,SOVRN Direct - All TREE,publisher,CTV,4,4,0.06
2025-02-10,Beeswax,Gusto TV,536423,SOVRN Direct - All TREE,publisher,CTV,3,3,0.04
2025-02-10,Simpli.fi,Trusted Media Brands,515314,High Prio ISO,publisher,APP,3,3,0.02
2025-02-10,Centro,Amagi Ads Plus,500389,Centro - West In East,publisher,DESKTOP,6,6,0.04
2025-02-10,Opera Bidder,Flipboard,543104,SOVRN Direct - Mobile App TREE,publisher,APP,3,3,0.0
2025-02-10,Beeswax,My-cast,512007,SOVRN Direct - All TREE,publisher,CTV,3,3,0.06
2025-02-10,OpenX,Quizlet,264549,SOVRN Direct Mobile App - Sequoia,publisher,APP,1,1,0.0
2025-02-10,Edge226,OTT Studio,381748,CTV Direct (Edge Direct EP),publisher,CTV,3,3,0.02
2025-02-10,Beeswax,Syncbak,466272,SOVRN Direct - All Mobile - Fillrate,publisher,DESKTOP,2,2,0.02
2025-02-10,Krush Media,Play Works Ltd,517910,CTV - SOVRN Direct All - Tree,publisher,CTV,1,1,0.01
2025-02-10,Xandr,47 Samurai,448926,SOVRN Direct - All - Sequoia,publisher,APP,1,1,0.01
2025-02-10,BidSwitch,Mycast,512006,SOVRN Direct - TREE,publisher,APP,48418,48418,85.69
2025-02-10,PulsePoint,Zynga Inc,513693,In-App Direct (Life Demand),publisher,APP,3214,3214,1.37
2025-02-10,Madhive,Multimerica Media,512220,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,CTV,70572,70572,735.61
2025-02-10,Xandr,SayGames LTD,524460,SOVRN Direct - All - Sequoia,publisher,APP,39695,39695,1.6
2025-02-10,The Trade Desk,Tegna,257772,SOVRN - Direct Pubs - No Throttle,publisher,APP,215618,215618,200.17
2025-02-10,Simpli.fi,Dailymail Prebid,257541,SOVRN Direct All - Sequoia,publisher,OTHER,6405,6405,9.21
2025-02-10,RTB House,Simple Bros,516644,SOVRN Direct - All - Tree,publisher,APP,2660,2660,0.48
2025-02-10,DV360,Simple Bros,516644,SOVRN Direct Non-CTV - No Throttle,publisher,APP,73070,73070,11.93
2025-02-10,PubMatic,LG Ads Plus,491414,SOVRN Direct - TREE,publisher,CTV,17260,17260,293.14
2025-02-10,Beeswax,TCL,466180,SOVRN Direct - All TREE,publisher,CTV,232,232,3.21
2025-02-10,Epsilon,TCL,466180,Epsilon Sovrn Direct - Sequoia,publisher,CTV,539,539,6.23
2025-02-10,Simpli.fi,Funtech,506272,SOVRN Direct All - Sequoia,publisher,APP,3984,3984,5.63
2025-02-10,The Trade Desk,LG Ad Solutions,489566,SOVRN - Direct Pubs - No Throttle,publisher,CTV,5684,5684,60.06
2025-02-10,Simpli.fi,Flipboard,543104,SOVRN Direct All - Sequoia,publisher,APP,4538,4538,6.76
2025-02-10,Centro,Twist Digital,271355,Centro - West In East,publisher,APP,1451,1451,5.22
2025-02-10,Epom Services,Zynga Inc,513693,SOVRN Direct All,publisher,APP,1228,1228,0.73
2025-02-10,Beeswax,Simple Bros,516644,SOVRN Direct - All Mobile - Fillrate,publisher,APP,2194,2194,0.44
2025-02-10,The Trade Desk,Syncbak,466272,SOVRN - Direct Pubs - No Throttle,publisher,CTV,3888,3888,42.21
2025-02-10,Motorik,Twist Digital,271355,SOVRN Direct All - Sequoia,publisher,APP,75,75,0.2
2025-02-10,Xandr,Gimica,528455,SOVRN Direct - All - Sequoia,publisher,APP,1318,1318,0.4
2025-02-10,PubMatic,Amagi Ads Plus,500389,SOVRN Direct - TREE SPLINE,publisher,CTV,4702,4702,46.14
2025-02-10,Epom Services,Simple Bros,516644,SOVRN Direct All,publisher,APP,1090,1090,0.28
2025-02-10,Madhive,DailyMail Online,99835,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,APP,761,761,0.29
